,rank,id,name_x,description,bggrating,avgrating,numvoter,date,Index,name_y,year_published,min_players,max_players,playing_time,age,boardgamecategory,thumbnail
0,1,174430,Gloomhaven,Vanquish monsters with strategic cardplay. Fulfill your quest to leave your legacy!,8.533999999999999,8.77,44979,2021-08-10,0,Gloomhaven,2017,1,4,120,14,,https://cf.geekdo-images.com/sZYp_3BTDGjh2unaZfZmuA__thumb/img/veqFeP4d_3zNhFc3GNBkV95rBEQ=/fit-in/200x150/filters:strip_icc()/pic2437871.jpg
1,2,161936,Pandemic Legacy: Season 1,Mutating diseases are spreading around the world - can your team save humanity?,8.453,8.61,43369,2021-08-10,1,Pandemic Legacy:  Saison 1,2015,2,4,60,13,,https://cf.geekdo-images.com/-Qer2BBPG7qGGDu6KcVDIw__thumb/img/NQQcjS31TO0DE246N9rpt0hd9eo=/fit-in/200x150/filters:strip_icc()/pic2452831.png
2,3,224517,Brass: Birmingham,"Build networks, grow industries, and navigate the world of the Industrial Revolution.",8.402999999999999,8.67,22391,2021-08-10,2,Brass. Бірмінгем,2018,2,4,120,14,,https://cf.geekdo-images.com/x3zxjr-Vw5iU4yDPg70Jgw__thumb/img/o18rjEemoWaVru9Y2TyPwuIaRfE=/fit-in/200x150/filters:strip_icc()/pic3490053.jpg
3,4,167791,Terraforming Mars,Compete with rival CEOs to make Mars habitable and build your corporate empire.,8.279,8.43,69407,2021-08-10,3,A Mars terraformálása,2016,1,5,120,12,,https://cf.geekdo-images.com/wg9oOLcsKvDesSUdZQ4rxw__thumb/img/BTxqxgYay5tHJfVoJ2NF5g43_gA=/fit-in/200x150/filters:strip_icc()/pic3536616.jpg
4,5,291457,Gloomhaven: Jaws of the Lion,Vanquish monsters with strategic cardplay in a 25-scenario Gloomhaven campaign.,8.256,8.77,12192,2021-08-10,4,Gloomhaven: Die Pranken des Löwen,2020,1,4,120,14,,https://cf.geekdo-images.com/_HhIdavYW-hid20Iq3hhmg__thumb/img/OMkN_E5eyWrkID_cHCnQEbIixGM=/fit-in/200x150/filters:strip_icc()/pic5055631.jpg
5,6,233078,Twilight Imperium: Fourth Edition,"Build an intergalactic empire through trade, research, conquest and grand politics.",8.254,8.68,14704,2021-08-10,5,Twilight Imperium: Cuarta Edición,2017,3,6,480,14,,https://cf.geekdo-images.com/_Ppn5lssO5OaildSE-FgFA__thumb/img/lfEukJE0JsoZZObaF9K9YnFp62E=/fit-in/200x150/filters:strip_icc()/pic3727516.jpg
6,7,220308,Gaia Project,"Expand, research, upgrade, and settle the galaxy with one of 14 alien species.",8.176,8.49,17654,2021-08-10,6,Gaia Project,2017,1,4,150,12,,https://cf.geekdo-images.com/hGWFm3hbMlCDsfCsauOQ4g__thumb/img/NNG7Ijyx4evp5gcVReis9i0koas=/fit-in/200x150/filters:strip_icc()/pic5375625.png
7,8,187645,Star Wars: Rebellion,Strike from your hidden base as the Rebels—or find and destroy it as the Empire.,8.171,8.43,24311,2021-08-10,7,Star Wars: Lázadás,2016,2,4,240,14,,https://cf.geekdo-images.com/7SrPNGBKg9IIsP4UQpOi8g__thumb/img/gAxzddRVQiRdjZHYFUZ2xc5Jlbw=/fit-in/200x150/filters:strip_icc()/pic4325841.jpg
8,9,182028,Through the Ages: A New Story of Civilization,Rewrite history as you build up your civilization in this epic card drafting game!,8.164,8.4,24351,2021-08-10,8,Cywilizacja: Poprzez Wieki,2015,2,4,120,14,,https://cf.geekdo-images.com/fVwPntkJKgaEo0rIC0RwpA__thumb/img/31usGlzlBReEFf60bcgbvDTjwCg=/fit-in/200x150/filters:strip_icc()/pic2663291.jpg
9,10,193738,Great Western Trail,Use strategic outposts and navigate danger as you herd your cattle to Kansas City.,8.128,8.3,31234,2021-08-10,9,Great Western,2016,2,4,150,12,,https://cf.geekdo-images.com/u1l0gH7sb_vnvDvoO_QHqA__thumb/img/9lxFidyDb8j6D1vobx4e3UwZ-FI=/fit-in/200x150/filters:strip_icc()/pic4887376.jpg
